timestep,average_reward
1,-7.5278497
2,-16.26727
3,-8.350912
4,-9.379172
5,-8.464096
6,-11.787359
7,-8.677139
8,-13.918935
9,-7.1778665
10,-13.591239
11,-7.282224
12,-13.829373
13,-10.2232485
14,-10.913525
15,-8.577218
16,-8.065054
17,-16.303894
18,-5.544784
19,-8.6337385
20,-13.851781
21,-6.404314
22,-11.579387
23,-11.483069
24,-9.143299
25,-7.766534
26,-5.6263475
27,-13.403972
28,-6.717329
29,-8.049725
30,-10.74378
31,-8.420655
32,-7.744162
33,-10.668319
34,-16.106802
35,-7.8329697
36,-11.514598
37,-7.790655
38,-7.114355
39,-11.716042
40,-7.7354107
41,-5.466135
42,-7.955102
43,-9.018543
44,-14.426665
45,-10.897011
46,-8.255637
47,-16.436825
48,-7.7847857
49,-11.632484
50,-6.4143004
51,-7.511239
52,-7.8426433
53,-16.245035
54,-5.1943045
55,-4.57258
56,-8.639506
57,-7.7997556
58,-8.341579
59,-8.200758
60,-9.474363
61,-9.270946
62,-16.322279
63,-13.266129
64,-8.429544
65,-9.099303
66,-14.681208
67,-8.935992
68,-8.540839
69,-8.135045
70,-8.716966
71,-14.678328
72,-8.442531
73,-7.614421
74,-10.372334
75,-10.712657
76,-4.077944
77,-14.469035
78,-16.512407
79,-13.643946
80,-8.901076
81,-14.190156
82,-8.014391
83,-14.164197
84,-5.433601
85,-9.640485
86,-16.245602
87,-5.4013786
88,-13.994943
89,-8.667333
90,-8.076626
91,-9.115672
92,-9.005531
93,-13.027181
94,-11.517627
95,-7.919394
96,-9.861798
97,-10.90627
98,-9.366648
99,-9.100324
100,-13.243448
101,-14.167883
102,-9.565279
103,-13.186658
104,-12.366844
105,-8.020987
106,-11.566159
107,-8.020182
108,-16.084675
109,-15.780836
110,-16.23879
111,-14.160252
112,-8.469609
113,-13.811715
114,-16.272594
115,-16.390648
116,-13.903099
117,-16.310072
118,-13.349834
119,-9.481033
120,-8.713855
121,-10.790145
122,-4.4993706
123,-5.455396
124,-10.471876
125,-13.559277
126,-16.500723
127,-14.041599
128,-8.675333
129,-8.409243
130,-6.8227673
131,-14.4187765
132,-11.684636
133,-9.176716
134,-9.373518
135,-14.771756
136,-14.123963
137,-15.795151
138,-4.8886127
139,-11.78742
140,-4.350918
141,-14.166945
142,-10.768815
143,-5.46905
144,-14.078813
145,-14.043433
146,-14.1172085
147,-10.115375
148,-9.1723
149,-14.609467
150,-15.488228
151,-14.569259
152,-9.515795
153,-8.654638
154,-8.574436
155,-7.1852818
156,-10.730233
157,-9.49695
158,-4.3641214
159,-10.767462
160,-16.509333
161,-16.407145
162,-11.621191
163,-9.381874
164,-12.906146
165,-14.442438
166,-8.942047
167,-12.56404
168,-15.179093
169,-7.584305
170,-5.586202
171,-9.174333
172,-12.777407
173,-12.65931
174,-16.431152
175,-13.04961
176,-9.5281925
177,-14.069734
178,-13.953915
179,-3.7782211
180,-10.801902
181,-10.680963
182,-8.656604
183,-13.998114
184,-13.654598
185,-9.158269
186,-9.789782
187,-9.004642
188,-7.532635
189,-7.492354
190,-11.59511
191,-16.434088
192,-9.245937
193,-7.0905037
194,-9.113563
195,-12.575353
196,-9.54827
197,-13.43925
198,-10.714848
199,-13.139968
200,-14.636145
201,-16.279978
202,-9.260762
203,-11.2777
204,-8.492401
205,-6.7938814
206,-11.454741
207,-15.216109
208,-14.041942
209,-5.640598
210,-7.851054
211,-7.7974067
212,-16.30619
