timestep,average_reward
1,-7.9989467
2,-8.98728
3,-9.377278
4,-11.5478325
5,-8.156469
6,-9.39889
7,-14.109354
8,-11.741987
9,-14.043418
10,-16.268274
11,-7.088345
12,-15.858885
13,-5.468854
14,-11.675954
15,-9.278881
16,-12.897101
17,-5.2653093
18,-12.376731
19,-7.769214
20,-11.263787
21,-14.09569
22,-13.021546
23,-11.346414
24,-14.394713
25,-9.249639
26,-13.705679
27,-9.3263645
28,-9.239057
29,-10.683554
30,-15.227069
31,-11.744539
32,-13.356881
33,-5.4688787
34,-8.852558
35,-16.36007
36,-8.958094
37,-4.5871496
38,-13.095916
39,-12.980919
40,-13.913155
41,-8.210555
42,-12.475631
43,-14.185286
44,-14.354362
45,-9.226992
46,-14.396129
47,-14.1179085
48,-13.038602
49,-13.929125
50,-8.55165
51,-13.594035
52,-13.243051
53,-8.471819
54,-14.503071
55,-8.009632
56,-7.9503584
57,-12.561394
58,-14.518107
59,-10.411973
60,-14.490634
61,-8.584769
62,-6.3746943
63,-8.176449
64,-12.20544
65,-8.202078
66,-5.627139
67,-12.261462
68,-8.589772
69,-13.819313
70,-10.663734
71,-16.313652
72,-11.040121
73,-9.4080715
74,-13.741563
75,-13.424057
76,-8.410318
77,-8.893426
78,-9.661025
79,-7.966172
80,-14.548672
81,-8.901556
82,-8.055927
83,-6.923078
84,-16.345339
85,-5.556111
86,-4.172837
87,-4.143116
88,-9.170845
89,-5.4784765
90,-11.365743
91,-10.381373
92,-5.4962196
93,-8.888072
94,-14.541982
95,-11.732494
96,-8.785753
97,-16.343134
98,-9.0978985
99,-11.734145
100,-14.084169
101,-9.158662
102,-9.540008
103,-7.737074
104,-9.11996
105,-16.24252
106,-10.668095
107,-16.216537
108,-9.3065605
109,-7.5643764
110,-9.273777
111,-5.533209
112,-9.043277
113,-8.145425
114,-9.661962
115,-7.4834003
116,-5.6462884
117,-3.6737175
118,-12.720816
119,-7.0835233
120,-7.189054
121,-14.007973
122,-13.004169
123,-14.197916
124,-11.583555
125,-6.7161746
126,-13.983908
127,-14.542184
128,-9.479121
129,-11.574492
130,-13.811228
131,-6.544412
132,-10.203766
133,-7.618926
134,-7.612865
135,-10.254127
136,-14.116573
137,-8.827832
138,-9.290891
139,-10.672694
140,-14.284144
141,-9.45648
142,-11.614955
143,-3.9608335
144,-16.48041
145,-11.641396
146,-8.290098
147,-14.454641
148,-16.325106
149,-13.455452
150,-13.785774
151,-14.122439
152,-5.6345954
153,-8.399792
154,-13.427936
155,-9.225478
156,-12.93004
157,-16.4169
158,-9.265105
159,-9.308522
160,-9.357743
161,-5.4243803
162,-5.586546
163,-4.081502
164,-15.218865
165,-13.396883
166,-15.645203
167,-13.565284
168,-14.597774
169,-10.830658
170,-10.720968
171,-12.766325
172,-11.525831
173,-14.610035
174,-14.181147
175,-5.6427584
176,-14.133106
177,-5.099644
178,-9.155171
179,-8.948912
180,-8.5366955
181,-9.321323
182,-15.848638
183,-4.7651815
184,-7.9403977
185,-13.796024
186,-8.061067
187,-10.848537
188,-10.619188
189,-9.487883
190,-7.300343
191,-15.370591
192,-14.042367
193,-7.435368
194,-14.959069
195,-13.513496
196,-7.8812985
197,-10.368561
198,-8.671544
199,-9.154694
200,-10.70352
201,-11.760465
202,-12.409924
203,-9.260881
204,-9.15427
205,-10.756414
206,-8.033766
207,-7.5434704
208,-10.438295
209,-12.457548
210,-15.315007
211,-11.612365
212,-14.492368
213,-7.5283337
214,-9.080764
215,-5.4406614
216,-14.709063
217,-4.163781
218,-8.428769
219,-12.7380495
220,-14.622773
221,-15.008426
222,-8.567766
223,-8.816056
224,-11.737333
225,-13.929014
226,-13.087852
227,-9.090922
228,-7.60274
229,-5.456633
230,-8.266676
231,-5.497302
232,-13.4778385
233,-12.9162655
234,-5.4372544
235,-13.958776
236,-9.022113
237,-7.1427827
238,-5.6073947
239,-15.629679
240,-14.168734
241,-13.890816
242,-10.020816
243,-7.9176955
244,-5.514136
245,-14.498605
246,-6.7287683
247,-14.033509
248,-9.103386
249,-8.312801
250,-7.9519024
251,-7.878189
252,-13.983507
253,-12.75679
254,-4.1038213
255,-13.1960945
256,-8.605806
257,-7.9093575
258,-7.3817225
259,-14.043006
260,-14.320801
261,-9.093173
262,-9.41775
263,-11.601412
264,-11.041705
265,-9.130697
266,-12.789107
267,-8.184037
268,-12.805223
269,-3.7899835
270,-12.599145
271,-9.057152
272,-10.432484
273,-6.2778373
274,-4.9907966
275,-7.3176737
276,-10.754872
277,-14.387219
278,-13.253986
279,-8.943077
280,-12.762747
281,-7.015508
282,-5.012967
283,-11.672163
284,-13.495835
285,-9.990154
286,-8.633874
287,-8.270796
288,-9.115368
289,-10.384157
290,-13.51911
291,-9.437123
292,-14.031122
293,-12.853161
294,-8.157328
295,-7.8111677
296,-9.533727
297,-9.177983
298,-13.33856
