timestep,average_reward
1,-10.914146
2,-12.294032
3,-5.069394
4,-6.9936943
5,-12.580679
6,-10.47833
7,-9.078566
8,-9.385533
9,-11.61825
10,-9.167784
11,-10.802682
12,-14.559271
13,-6.61046
14,-7.467621
15,-5.4699125
16,-11.74562
17,-10.304098
18,-9.938355
19,-9.313887
20,-12.602901
21,-8.0269575
22,-16.371336
23,-8.655521
24,-11.698989
25,-8.900386
26,-7.4733343
27,-12.775395
28,-8.229342
29,-13.776813
30,-13.294285
31,-8.414181
32,-5.5440903
33,-9.318242
34,-12.724201
35,-8.730119
36,-14.534952
37,-16.134302
38,-7.970425
39,-7.1913977
40,-11.423116
41,-13.863278
42,-8.25565
43,-15.108989
44,-14.59697
45,-8.02582
46,-6.9936843
47,-13.114966
48,-13.964188
49,-15.485411
50,-13.61265
51,-10.854264
52,-7.8880587
53,-6.881426
54,-9.294715
55,-9.394818
56,-16.472586
57,-14.130749
58,-8.047913
59,-9.201704
60,-10.694812
61,-8.056276
62,-8.0320425
63,-9.214913
64,-8.149258
65,-5.5939126
66,-8.723545
67,-12.769371
68,-8.583568
69,-8.517288
70,-7.4521337
71,-11.45133
72,-15.657694
73,-7.237028
74,-13.967448
75,-7.358052
76,-13.821119
77,-14.180904
78,-7.790116
79,-14.4811535
80,-5.012283
81,-11.635971
82,-11.664447
83,-7.9640274
84,-10.906417
85,-16.180212
86,-10.488977
87,-12.57403
88,-9.5277605
89,-9.041021
90,-8.385383
91,-11.629636
92,-6.7470126
93,-7.250298
94,-7.978502
95,-4.3197613
96,-16.430841
97,-10.7644005
98,-16.27788
99,-6.5079594
100,-7.983014
101,-5.387255
102,-14.068763
103,-13.263474
104,-13.49764
105,-15.961183
106,-9.416299
107,-7.548012
108,-8.911302
109,-13.498883
110,-14.517869
111,-7.813358
112,-10.918886
113,-9.412854
114,-9.027832
115,-9.10548
116,-8.956029
117,-11.565709
118,-7.896222
119,-9.108511
120,-8.587392
121,-8.81699
122,-9.184659
123,-4.9006853
124,-8.092306
125,-8.408726
126,-14.446059
127,-15.163169
128,-13.334346
129,-10.20311
130,-8.543965
131,-14.54193
132,-8.35533
133,-6.856307
134,-8.061688
135,-14.01961
136,-7.933739
137,-8.652992
138,-9.157872
139,-12.339321
140,-14.358407
141,-8.466989
142,-9.292645
143,-7.9511175
144,-8.113373
145,-7.576902
146,-12.59941
147,-9.959021
148,-12.704689
149,-8.893732
150,-8.554834
151,-8.897477
152,-10.669095
153,-14.53765
154,-7.0540814
155,-13.967591
156,-10.735006
157,-16.280882
158,-12.948862
159,-6.7653046
160,-15.492666
161,-7.2401958
162,-16.40845
163,-7.7178307
164,-14.564246
165,-11.276244
166,-15.651789
167,-12.991457
168,-4.5896516
169,-8.865726
170,-8.604717
171,-15.482557
172,-9.804853
173,-9.526537
174,-8.267201
175,-14.627897
176,-13.533817
177,-8.420492
178,-11.66019
179,-11.540651
180,-11.681221
181,-15.232958
182,-14.31688
183,-8.485134
184,-12.952905
185,-11.763255
186,-10.605605
187,-9.546053
188,-9.4334
189,-9.502355
190,-9.504351
191,-5.49873
192,-14.184591
193,-8.699389
194,-13.964836
195,-16.272438
196,-8.350523
197,-11.776663
198,-9.827394
199,-7.707439
200,-9.354785
201,-14.1014
202,-11.571666
203,-5.5792623
204,-9.405068
205,-9.145683
206,-7.840412
207,-9.270869
208,-14.219934
209,-3.8415654
210,-4.8174233
211,-6.771476
212,-5.3391905
213,-15.786231
214,-8.227738
215,-13.636874
216,-13.82309
217,-7.3850703
218,-13.099089
219,-8.633451
220,-9.367423
221,-8.633667
222,-5.6329956
223,-9.0239
224,-8.542043
225,-12.515491
226,-4.5588565
227,-8.971724
228,-14.796944
229,-9.152282
230,-16.434534
231,-14.031543
232,-9.867511
233,-7.8560195
234,-8.419575
235,-9.277778
236,-9.16345
237,-9.150858
238,-11.0468
239,-10.759771
240,-15.717563
241,-13.911511
242,-7.5414157
243,-9.34073
244,-12.68085
245,-13.917031
246,-14.71503
247,-11.610487
248,-11.504443
249,-12.817306
250,-8.205833
251,-13.213837
252,-8.133068
253,-7.0826483
254,-8.461489
255,-8.026997
256,-10.024947
257,-8.318644
258,-7.965735
259,-7.4689093
260,-8.971376
261,-10.215129
262,-10.518724
263,-5.590393
264,-7.2247553
265,-11.642981
266,-12.360761
267,-14.669043
268,-8.874588
269,-4.102888
270,-9.496679
271,-10.8635
272,-13.895949
273,-9.072003
274,-7.5139074
275,-9.1033945
276,-8.243232
277,-5.1592455
278,-14.3241205
279,-8.235523
280,-9.117435
281,-9.261508
282,-10.518193
283,-8.677677
284,-6.9176383
285,-13.499792
286,-14.482312
287,-5.516965
288,-14.165614
