timestep,average_reward
100,-887.2823
200,-1375.7216
300,-558.845
400,-343.91815
500,-477.85352
600,-102.784775
700,-61.843624
800,-3.8354423
900,-5.9709296
1000,-2.760239
1100,-1.9498824
1200,-2.2062333
1300,-2.4823518
1400,-1.5610108
1500,-1.7330724
1600,-1.437196
1700,-1.767652
1800,-1.5699044
1900,-1.3719476
2000,-1.554461
2100,-1.4382014
2200,-1.4500781
2300,-2.1777055
2400,-1.5144275
2500,-1.4093915
2600,-1.4188945
2700,-1.5001339
2800,-1.3118669
2900,-1.3248867
3000,-1.4363731
3100,-1.2517928
3200,-1.422015
3300,-1.3403758
3400,-1.2731338
3500,-1.3649147
3600,-1.163137
3700,-1.2242951
3800,-1.3659858
3900,-1.2550731
4000,-1.3626854
4100,-1.2475796
4200,-1.4013095
4300,-1.2256306
4400,-1.3044826
4500,-1.2657254
4600,-1.2628412
4700,-1.2896042
4800,-1.4932424
4900,-1.3922061
5000,-1.4380395
5100,-1.474876
5200,-1.2886146
5300,-1.2419859
5400,-1.4426589
5500,-1.4405693
5600,-1.3844078
5700,-1.4268231
5800,-1.4781598
5900,-1.3845947
6000,-1.4687549
6100,-1.4694405
6200,-1.4067776
6300,-1.417816
6400,-1.3168793
6500,-1.287967
6600,-1.6694986
6700,-1.3928412
6800,-1.6569263
6900,-2.2742016
7000,-1.3075821
7100,-1.8650262
7200,-1.8309166
7300,-1.8186274
7400,-1.5768985
7500,-2.5380032
7600,-1.5832747
7700,-2.1889544
7800,-1.69571
7900,-2.8325357
8000,-2.7155263
8100,-2.328745
8200,-1.855398
8300,-3.3289187
8400,-2.568145
8500,-2.546322
8600,-5.6060114
8700,-3.8032928
8800,-3.8072214
8900,-2.25447
9000,-3.2149181
9100,-3.062001
9200,-4.4539204
9300,-2.9313805
9400,-2.8563383
9500,-3.4892612
9600,-2.3680646
9700,-2.4437385
9800,-3.2708924
9900,-1.4416528
10000,-3.32802
10100,-4.3931437
10200,-2.5174525
10300,-6.441033
10400,-2.550256
10500,-6.5528536
10600,-4.970867
10700,-9.825891
10800,-4.694167
10900,-3.7015817
11000,-7.47244
11100,-4.9586244
11200,-6.2609425
11300,-3.2152572
11400,-1.2888882
11500,-7.277983
11600,-3.361542
11700,-4.800354
11800,-6.5996876
11900,-8.193662
12000,-13.638488
12100,-18.946255
12200,-4.1523614
12300,-4.9196954
12400,-11.31155
12500,-5.4601274
12600,-6.441022
12700,-14.800995
12800,-3.534704
12900,-3.6832428
13000,-6.6244535
13100,-1.3068318
13200,-8.749929
13300,-9.798165
13400,-1.9540752
13500,-1.6299443
13600,-1.5785942
13700,-1.328383
13800,-1.879418
