timestep,average_reward
100,-5074.249
200,-1662.3988
300,-456.01175
400,-242.9936
500,-31.669357
600,-2.6266396
700,-2.23259
800,-3.2377272
900,-1.88717
1000,-1.7077174
1100,-1.3260955
1200,-1.3129756
1300,-1.3205851
1400,-1.3912295
1500,-1.2785434
1600,-1.2814914
1700,-1.5007356
1800,-1.501349
1900,-1.1758904
2000,-1.3731519
2100,-1.416311
2200,-1.5131891
2300,-1.3558214
2400,-1.3132253
2500,-1.4883233
2600,-1.3514835
2700,-1.5129389
2800,-1.2212085
2900,-1.4874911
3000,-1.3602082
3100,-1.3083282
3200,-1.5209548
3300,-1.2659379
3400,-1.3225322
3500,-1.2923759
3600,-1.3781589
3700,-1.3114302
3800,-1.4559535
3900,-1.5569371
4000,-1.353972
4100,-1.259609
4200,-1.3274891
4300,-1.4586542
4400,-1.3188808
4500,-1.2648598
4600,-1.415942
4700,-1.3933774
4800,-1.466363
4900,-1.4421622
5000,-1.369174
5100,-1.2904271
5200,-1.2407838
5300,-1.4793365
5400,-1.4099752
5500,-1.3281082
5600,-1.4457241
5700,-1.4054663
5800,-1.2706066
5900,-2.5500486
6000,-1.4120569
6100,-1.58497
6200,-1.3964548
6300,-1.394588
6400,-1.2559295
6500,-1.3743495
6600,-1.3972673
6700,-1.5124255
6800,-1.3147525
6900,-1.2752689
7000,-1.3621522
7100,-1.3847129
7200,-1.2989713
7300,-1.547184
7400,-1.252075
7500,-1.4186558
7600,-1.3628258
7700,-1.7306329
7800,-1.4443785
7900,-1.4269714
8000,-1.3147126
8100,-1.3736438
8200,-1.322412
8300,-1.7235893
8400,-1.361353
8500,-1.2863911
8600,-1.3629119
8700,-1.5535656
8800,-1.5378921
8900,-1.6020209
9000,-1.2844449
9100,-1.5930603
9200,-1.7654969
9300,-1.562862
9400,-2.513217
9500,-2.4178452
9600,-1.787943
9700,-1.4924865
9800,-1.9814467
9900,-2.7795258
10000,-6.098234
10100,-3.340572
10200,-3.8638241
10300,-2.1608405
10400,-5.1785307
10500,-4.6216326
10600,-3.9366517
10700,-4.7586613
10800,-4.081684
10900,-5.8725476
11000,-4.515328
11100,-4.7379827
11200,-10.258737
11300,-9.217762
11400,-5.7597637
11500,-2.118094
11600,-1.3961289
11700,-1.4392601
11800,-10.4295435
11900,-6.905019
12000,-7.3421135
12100,-12.002857
12200,-7.211801
12300,-8.392817
12400,-10.336174
12500,-13.07761
12600,-8.501605
12700,-8.607061
12800,-7.8704643
12900,-2.4200537
13000,-1.292882
13100,-11.39414
13200,-6.4871454
13300,-1.5176679
13400,-1.2832946
13500,-6.489814
13600,-10.072585
13700,-10.05884
13800,-1.5822483
13900,-1.358907
14000,-1.3212181
14100,-1.301738
14200,-1.45859
14300,-1.2931716
14400,-1.3132634
14500,-1.1815685
14600,-1.2066488
14700,-1.2976489
14800,-1.2777925
14900,-1.1791329
15000,-1.2067944
15100,-1.1926426
15200,-1.3970315
15300,-1.2118423
15400,-1.2931529
15500,-1.4088532
15600,-1.1627722
15700,-1.3022968
15800,-1.2125256
15900,-1.1941978
16000,-1.2801344
16100,-1.17397
16200,-1.2668626
16300,-1.1551769
16400,-1.2158865
16500,-1.3037634
16600,-1.2540567
16700,-1.268304
16800,-1.1490107
16900,-1.2597433
17000,-1.2414072
17100,-1.3206843
17200,-1.172068
17300,-1.5331016
17400,-1.1128535
17500,-1.1898872
17600,-1.2979771
17700,-1.1918279
17800,-1.3817227
17900,-1.1708388
18000,-1.4034282
18100,-1.6732799
18200,-1.2426566
18300,-1.2747785
18400,-1.2822357
18500,-1.124959
18600,-1.3576273
18700,-1.1326097
18800,-1.2227582
18900,-1.3050522
19000,-1.4004527
19100,-1.2494973
19200,-1.3050237
19300,-1.636248
19400,-1.4519861
19500,-1.4217716
19600,-2.6258602
19700,-1.7173471
19800,-2.1854272
19900,-1.842167
20000,-2.005421
20100,-2.1895967
20200,-1.671124
20300,-1.395024
20400,-1.614243
20500,-1.3964951
20600,-1.3139282
20700,-1.1739345
20800,-1.546845
20900,-1.7271783
21000,-1.4122288
21100,-1.4436374
21200,-1.3108526
21300,-1.4604629
21400,-1.3153527
21500,-1.721205
21600,-1.3931884
21700,-1.1512957
21800,-1.3369504
21900,-1.3128688
22000,-1.9744838
22100,-1.486222
22200,-2.4032786
22300,-1.5090522
22400,-3.362038
22500,-1.5715687
22600,-1.4729266
22700,-1.1442347
22800,-1.3920497
22900,-1.310313
23000,-1.4039563
23100,-1.2904679
23200,-1.399728
23300,-1.1815047
23400,-1.144873
23500,-1.2692063
23600,-1.1905417
23700,-1.2792447
23800,-1.171684
23900,-1.2758818
24000,-1.2012894
24100,-1.2195716
24200,-1.3457204
24300,-1.4594699
24400,-1.1856385
24500,-1.2612453
24600,-1.4109703
24700,-1.3773025
24800,-1.1945912
24900,-1.1557481
25000,-1.2517554
25100,-1.3103982
25200,-1.1554062
25300,-1.2209759
25400,-1.1232339
25500,-1.1258681
25600,-1.1286511
25700,-1.3411632
25800,-1.194142
25900,-1.3639146
26000,-1.2352798
26100,-1.122948
26200,-1.2433447
26300,-1.112174
26400,-1.3257104
26500,-1.193422
26600,-1.1555179
26700,-1.2270474
26800,-1.379752
26900,-1.1395593
27000,-1.3639157
27100,-1.2765309
27200,-2.3920891
27300,-1.4281219
27400,-2.7349708
27500,-1.832671
27600,-2.0003061
27700,-1.3328024
27800,-1.7688766
27900,-1.3860626
28000,-1.3524662
28100,-1.211286
28200,-1.8945072
28300,-1.2074828
28400,-1.2627258
28500,-1.8534619
28600,-1.2085557
28700,-1.1059122
28800,-1.479248
28900,-1.42976
29000,-1.2152033
29100,-1.1294694
29200,-1.0739303
29300,-1.1934108
29400,-1.4704863
29500,-1.2819352
29600,-1.2317076
29700,-1.1444533
29800,-1.1360646
29900,-1.3518186
30000,-1.0732903
30100,-1.1194866
30200,-1.1760763
30300,-1.1196821
30400,-1.2011342
30500,-1.0915793
30600,-1.1959622
30700,-1.3246605
30800,-1.1930865
30900,-1.2335682
31000,-1.2002225
31100,-1.1520698
31200,-1.153224
31300,-1.2305554
31400,-1.2720011
31500,-1.0825231
31600,-1.1234009
31700,-1.0906042
31800,-1.2637433
31900,-1.3209736
32000,-1.3233571
32100,-1.147151
32200,-1.2530224
32300,-1.2630935
32400,-1.3537881
32500,-1.1017321
32600,-1.1148416
32700,-1.1522728
32800,-1.1554298
32900,-1.1276081
33000,-1.2908554
33100,-1.150257
33200,-1.2553719
33300,-1.2502692
33400,-1.2641821
33500,-1.1117566
33600,-1.1020348
33700,-1.2416925
33800,-1.1521417
33900,-1.1469378
34000,-1.0764718
34100,-1.146381
34200,-1.108791
34300,-1.1065811
34400,-1.1677203
34500,-1.1856716
34600,-1.225984
34700,-1.1416785
34800,-1.1432092
34900,-1.1674682
35000,-1.1868083
35100,-1.1705415
35200,-1.1554806
35300,-1.1734713
35400,-1.2356123
35500,-1.1058694
35600,-1.1575675
35700,-1.2352521
35800,-1.4688452
35900,-1.1199085
36000,-1.1330775
36100,-1.1616002
36200,-1.2099077
36300,-1.322532
36400,-1.1221842
36500,-1.0724186
36600,-1.1887026
36700,-1.1161216
36800,-1.3126432
36900,-1.1728956
37000,-1.3204654
37100,-1.1433747
37200,-1.2595415
37300,-1.2575303
37400,-1.0510743
37500,-1.1700846
37600,-1.2310134
37700,-1.0839003
37800,-1.0876254
37900,-1.2505479
38000,-1.2897437
38100,-1.2079297
38200,-1.1855257
38300,-1.1223707
38400,-1.1013697
38500,-1.1029793
38600,-1.2562299
38700,-1.1659865
38800,-1.2081046
38900,-1.2491441
39000,-1.1850135
39100,-1.2648746
39200,-1.4102974
39300,-1.3031936
39400,-1.3527035
39500,-1.5753376
39600,-1.3732508
39700,-1.870905
39800,-1.2235919
39900,-1.2189136
40000,-1.2926291
40100,-1.3450595
40200,-1.1410652
40300,-1.2546184
40400,-1.3177146
40500,-1.142189
40600,-1.1629109
40700,-1.2139844
40800,-1.065823
40900,-1.5861267
41000,-1.258106
41100,-1.2957007
41200,-1.3317502
41300,-1.9320778
41400,-1.2907798
41500,-1.2962823
41600,-1.2292895
41700,-1.3149434
41800,-1.3838676
41900,-1.4374989
42000,-1.2808641
42100,-1.390087
42200,-1.106849
42300,-1.264333
42400,-1.4607731
42500,-1.4608945
42600,-1.3210425
42700,-1.367017
42800,-1.1445991
42900,-1.2724224
43000,-1.1774296
43100,-1.4845695
43200,-1.2260216
43300,-1.6044621
43400,-1.511267
43500,-1.3827527
43600,-1.1100968
43700,-1.0806458
43800,-1.096764
43900,-1.3560596
44000,-1.114437
44100,-1.1554059
44200,-1.152279
44300,-1.4472432
44400,-3.2459059
44500,-2.3705263
44600,-1.3046542
44700,-1.9110286
44800,-1.1600442
44900,-1.2104717
45000,-1.2216512
45100,-1.1781418
45200,-1.1400295
45300,-1.1745646
45400,-1.1330475
45500,-1.0987743
45600,-1.3436868
45700,-1.0509073
45800,-1.1684098
45900,-1.1655834
46000,-2.2774644
46100,-1.220771
46200,-1.1964412
46300,-1.2829514
46400,-1.3892107
46500,-1.2159944
46600,-2.2533937
46700,-7.5214596
46800,-2.5976381
46900,-1.5949144
47000,-1.2234337
47100,-1.3418534
47200,-1.5629556
47300,-1.2992558
47400,-1.2881702
47500,-1.1578226
47600,-1.1737995
47700,-1.2552152
47800,-1.3435531
47900,-1.1711594
48000,-1.2918179
48100,-1.656227
48200,-1.5412811
48300,-1.0900139
48400,-1.4412699
48500,-2.253531
48600,-1.5352063
48700,-1.2598689
48800,-1.2864059
48900,-1.1434712
49000,-1.1061561
49100,-1.8873464
49200,-1.1401417
49300,-1.301737
49400,-1.2052008
49500,-1.3891095
49600,-1.7140629
49700,-1.7112547
49800,-4.2544293
49900,-3.0021613
50000,-1.4540241
50100,-2.2781663
50200,-10.488758
50300,-2.7113307
50400,-5.135509
50500,-4.7264605
50600,-3.6537914
50700,-5.9701095
50800,-1.2527347
50900,-2.224498
51000,-1.5918025
51100,-3.1892893
51200,-2.809952
51300,-4.344605
51400,-5.185741
51500,-2.114936
51600,-2.2509043
51700,-5.197589
51800,-12.6591
51900,-3.8374002
52000,-2.9906728
52100,-3.2363465
52200,-1.5442425
52300,-5.4513707
52400,-1.0824531
52500,-1.3473141
52600,-1.9521064
52700,-1.1684502
52800,-2.6671042
52900,-2.1076982
53000,-10.967378
53100,-2.8219767
53200,-1.1085299
53300,-1.2062413
53400,-1.1168106
53500,-1.2555445
53600,-1.1328214
53700,-1.2018559
53800,-1.0186851
53900,-1.2811502
54000,-1.1994361
54100,-1.2507519
54200,-1.1407148
54300,-1.0967706
54400,-1.0876374
54500,-1.1924958
54600,-1.2900434
54700,-1.3284225
54800,-1.6390736
54900,-1.1745496
55000,-1.2157289
55100,-1.0707326
55200,-1.1295692
55300,-1.1322339
55400,-1.4012429
55500,-1.1823089
55600,-1.2173854
55700,-28.165977
55800,-9.597121
55900,-1.3804675
56000,-1.2534893
56100,-6.600434
56200,-1.6524915
56300,-2.7310386
56400,-4.3081417
56500,-1.3567402
56600,-1.8273306
56700,-1.3432051
56800,-1.3930327
56900,-1.6205531
57000,-1.1699617
57100,-10.589451
57200,-2.470715
57300,-1.2623364
57400,-1.9134101
57500,-15.453426
57600,-1.1610512
57700,-3.9259317
57800,-2.4393673
57900,-7.046179
58000,-3.2467499
58100,-41.334347
58200,-2.2896013
58300,-1.5227944
