timestep,average_reward
100,-460.32742
200,-7063.898
300,-1072.4323
400,-815.1387
500,-958.29095
600,-1220.4292
700,-1274.7362
800,-1077.0774
900,-1119.5735
1000,-1048.3994
1100,-828.19556
1200,-501.0211
1300,-222.25537
1400,-97.84298
1500,-72.299934
1600,-37.000202
1700,-22.872913
1800,-2.4973812
1900,-2.2748585
2000,-1.2398715
2100,-1.1844192
2200,-1.0242949
2300,-1.186202
2400,-1.0438429
2500,-0.99922675
2600,-0.9290515
2700,-1.0674794
2800,-0.9376434
2900,-1.0114932
3000,-0.9366551
3100,-0.9550196
3200,-0.9534275
3300,-0.9907554
3400,-0.96089435
3500,-0.9944777
3600,-1.0647451
3700,-1.1034085
3800,-1.0515206
3900,-0.86543465
4000,-0.93219954
4100,-0.9571514
4200,-0.8833751
4300,-0.8056341
4400,-0.83492315
4500,-0.8840403
4600,-0.8716227
4700,-0.9009689
4800,-0.8304435
4900,-0.8961585
5000,-0.90129274
5100,-0.8938334
5200,-0.92520815
5300,-0.91554946
5400,-0.93874514
5500,-0.9938707
5600,-0.89213264
5700,-0.8803017
5800,-1.025469
5900,-0.9993093
6000,-0.9413019
6100,-0.94500405
6200,-1.0263332
6300,-1.0299743
6400,-1.0056907
6500,-1.0006831
6600,-1.0408323
6700,-1.0196419
6800,-1.0508314
6900,-0.98691076
7000,-0.95788145
7100,-1.001683
7200,-0.9933589
7300,-1.0299796
7400,-0.97023666
7500,-1.08221
7600,-1.0270534
7700,-0.80016255
7800,-1.0904435
7900,-1.057
8000,-1.0322344
8100,-0.983127
8200,-0.930651
8300,-0.98089236
8400,-0.87452257
8500,-1.0554299
8600,-0.96615106
8700,-1.002068
8800,-0.9859371
8900,-0.9907785
9000,-0.9635312
9100,-0.9386127
9200,-0.9513314
9300,-1.027267
9400,-0.94838876
9500,-0.92255014
9600,-0.97793776
9700,-0.97898763
9800,-0.96508455
9900,-0.9878483
10000,-0.99658334
10100,-0.87539566
10200,-0.92462134
10300,-0.9597629
10400,-0.8725355
10500,-0.9149459
10600,-0.9269001
10700,-0.931394
10800,-0.90744513
10900,-0.85429907
11000,-1.0162904
11100,-0.86265355
11200,-0.9113505
11300,-0.8729418
11400,-1.0836717
11500,-0.9434781
11600,-0.88836694
